상호명,상권업종중분류명,상권업종소분류명,표준산업분류명,행정동명,위도,경도
라이라이라이,기타 간이,피자,"피자, 햄버거, 샌드위치 및 유사 음식점업",동선동,37.5911139937004,127.019449854123
남수,서양식,경양식,서양식 음식점업,용신동,37.5753822784421,127.041449045362
나비스타킹,주점,일반 유흥 주점,일반 유흥 주점업,청량리동,37.5825134521452,127.044154168085
미고당바이팥고당밀가옥,기타 간이,빵/도넛,제과점업,삼선동,37.5832261984951,127.010371062732
동태코다리,한식,해산물 구이/찜,한식 일반 음식점업,청량리동,37.5868820764995,127.041754503003
백만원식당,한식,백반/한정식,한식 일반 음식점업,삼선동,37.5886007156244,127.018441113985
대찬식당,한식,돼지고기 구이/찜,한식 육류 요리 전문점,용신동,37.5753162508987,127.025679789196
장수감자탕,한식,국/탕/찌개류,한식 일반 음식점업,용신동,37.5754801341565,127.032458923742
어머니대성집,한식,백반/한정식,한식 일반 음식점업,용신동,37.5774663686783,127.028550021816
정만빙수,기타 간이,아이스크림/빙수,제과점업,안암동,37.585173579567,127.030046337051
무지개맥주,주점,생맥주 전문,생맥주 전문점,동선동,37.5917385047609,127.017618586711
화주집,한식,백반/한정식,한식 일반 음식점업,동선동,37.5911063010091,127.019608481863
두마리찜닭두찜동대문,한식,닭/오리고기 구이/찜,한식 일반 음식점업,청량리동,37.5837590428347,127.048882266322
촌,한식,백반/한정식,한식 일반 음식점업,보문동,37.5797247618388,127.022701364277
신룽푸마라탕,중식,마라탕/훠궈,중식 음식점업,동선동,37.5925681569183,127.018785331416
가츠나베식당,한식,백반/한정식,한식 일반 음식점업,동선동,37.5919517146542,127.017253433026
미스사이공신설동점,동남아시아,베트남식 전문,기타 외국식 음식점업,용신동,37.5762468136456,127.023799683319
웅다방,비알코올 ,카페,커피 전문점,동선동,37.590429911334,127.018451060808
빈스바네스,비알코올 ,카페,커피 전문점,청량리동,37.5820602901443,127.04494117957
참새포차,주점,요리 주점,기타 주점업,청량리동,37.5808040527539,127.043360852886
맛들의축제,한식,돼지고기 구이/찜,한식 육류 요리 전문점,종암동,37.6035007521123,127.030046253943
더테이블,서양식,경양식,서양식 음식점업,동선동,37.5924489293771,127.017450718419
두레박,한식,백반/한정식,한식 일반 음식점업,용신동,37.5727016364828,127.025487442374
수한사우손두부,한식,백반/한정식,한식 일반 음식점업,종암동,37.5933397132068,127.035873971177
윤이불닭발,한식,닭/오리고기 구이/찜,한식 일반 음식점업,삼선동,37.5910037620842,127.01378963759
베브릿지고려대점,비알코올 ,카페,커피 전문점,안암동,37.5872157494631,127.029657509047
옥두헌손두부,한식,백반/한정식,한식 일반 음식점업,안암동,37.5871238863037,127.029443569355
원할머니보쌈족발종암,한식,족발/보쌈,한식 일반 음식점업,종암동,37.6019072022586,127.033498416478
토닥토닥,기타 간이,빵/도넛,제과점업,동선동,37.5946699124914,127.020150572205
마카나이,일식,일식 카레/돈가스/덮밥,일식 음식점업,동선동,37.5907038856785,127.019976105752
곱사빠,한식,백반/한정식,한식 일반 음식점업,종암동,37.6015616023938,127.032007995442
포에버24시무인카페,비알코올 ,카페,커피 전문점,용신동,37.5785119011317,127.027494865233
오복치킨,기타 간이,치킨,치킨 전문점,청량리동,37.5816096315871,127.044924292725
연탄집,한식,횟집,한식 해산물 요리 전문점,삼선동,37.5916519402003,127.014800192158
